title,complete,date_completed,release_date,system
1-2-Switch,FALSE,,3/3/17,Switch
Axiom Verge,TRUE,9/11/16,10/5/17,Switch
Bastion,TRUE,9/28/18,9/13/18,Switch
Bayonetta,TRUE,4/1/10,2/16/18,Switch
Bayonetta 2,TRUE,10/28/14,2/16/18,Switch
Beat 'Em Up Bundle,FALSE,,9/18/18,Switch
Blaster Master Zero,TRUE,5/10/17,3/9/17,Switch
Blazblue Cross Tag Battle,FALSE,,6/5/18,Switch
Blazing Star,FALSE,,5/2/17,Switch
Bloodstained Curse of the Moon,TRUE,5/25/18,5/24/18,Switch
Bomb Chicken,FALSE,,7/12/18,Switch
Cave Story+,TRUE,6/1/2010,6/20/17,Switch
Crawl,FALSE,,12/19/17,Switch
Dark Souls,FALSE,,10/19/18,Switch
Dead Cells,FALSE,,8/7/18,Switch
Diablo III,TRUE,2/10/19,11/2/18,Switch
Donkey Kong Country Tropical Freeze,TRUE,5/22/18,5/4/18,Switch
Dragon Quest 11,FALSE,,9/4/18,PS4
Dragon Quest Builders,TRUE,3/3/18,2/9/18,Switch
Dragonball FighterZ,FALSE,,9/28/18,Switch
Enter the Gungeon,FALSE,,12/14/17,Switch
Fallout Shelter,FALSE,,6/10/18,Switch
Fire Emblem Warriors,TRUE,10/26/17,10/20/17,Switch
Flint Hook,FALSE,,3/9/18,Switch
Fortnite,FALSE,,6/12/18,Switch
Furi,FALSE,,1/11/18,Switch
God of War 4,FALSE,,4/20/18,PS4
Golf Story,FALSE,,9/28/17,Switch
Gonner,FALSE,,6/29/17,Switch
Guacamelee,TRUE,8/19/14,10/8/18,Switch
Guacamelee 2,TRUE,12/31/18,12/10/18,Switch
Hollow Knight,TRUE,7/15/18,6/12/18,Switch
Hyrule Warriors,TRUE,10/3/14,5/18/18,Switch
Iconoclasts,TRUE,1/13/19,8/2/18,Switch
Ikaruga,FALSE,,5/29/18,Switch
Into the Breach,FALSE,,8/28/18,Switch
Just Shapes & Beats,FALSE,,5/31/18,Switch
King of Fighters 2002,FALSE,,12/27/18,Switch
Kirby Star Allies,TRUE,2/27/18,3/16/18,Switch
Labo,FALSE,,4/20/18,Switch
Lightening Force,FALSE,,9/20/18,Switch
Lost Sphear,FALSE,,1/23/18,Switch
Lumines,FALSE,,6/26/18,Switch
Mario & Luigi: Superstar Saga,TRUE,7/8/18,10/6/17,3DS
Mario Kart 8 Deluxe,TRUE,7/19/14,4/28/17,Switch
Mario Odyssey,TRUE,10/28/17,10/27/17,Switch
Mario Tennis Aces,FALSE,,6/22/18,Switch
Megaman 11,TRUE,2/25/19,10/2/18,Switch
Megaman 11 Demo,TRUE,9/6/18,9/6/18,Switch
Megaman Legacy Collection,TRUE,5/27/18,5/22/18,Switch
Megaman Legacy Collection 2,TRUE,7/9/18,5/22/18,Switch
Megaman X Legacy Collection,FALSE,,7/24/18,Switch
Mighty Gunvolt Burst,TRUE,8/10/17,6/15/17,Switch
Minecraft,FALSE,,5/11/17,Switch
Minit,TRUE,1/2/19,8/9/18,Switch
Monster Hunter Generations,FALSE,,8/28/18,Switch
Monster Hunter World,FALSE,,1/26/18,PS4
Mortal Kombat XL,FALSE,,3/1/16,PS4
N++,FALSE,,5/24/18,Switch
Night in the Woods,TRUE,7/1/18,2/1/18,Switch
Nintendo Entertainment System,FALSE,,9/18/18,Switch
Octopath Traveler,FALSE,,7/13/18,Switch
Okami,TRUE,3/1/07,8/9/18,Switch
Owlboy,TRUE,2/9/19,2/13/18,Switch
Phantasy Star,TRUE,12/23/2018,12/13/18,Switch
Pocket Rumble,FALSE,,7/5/18,Switch
Pokemon Quest,FALSE,,5/29/18,Switch
"Pokemon: Let's Go, Pikachu!",FALSE,,11/16/18,Switch
R-Type Dimensions EX,FALSE,,11/28/18,Switch
Rayman Legends,TRUE,9/9/13,9/12/17,Switch
Retro City Rampage DX,TRUE,8/14/17,8/3/17,Switch
Runner 3,FALSE,,5/22/18,Switch
Sega Genesis Classics,FALSE,,12/7/18,Switch
